"Desenvolvedor","Variabilidades"
"Bastien Nocera",109
"Christian Persch",16
"James Willcox",2
"Jonathan Matthew",2
"Philip Withnall",8
"Ronald Bultje",5
"Tim-Philipp Muller",6
