"Desenvolvedor","Variabilidades","Valor","Total"
"James Willcox",2,"2002-09-01",148
"Ronald Bultje",5,"2006-01-01",148
"Jonathan Matthew",2,"2007-07-01",148
"Christian Persch",16,"2008-05-01",148
"Tim-Philipp Muller",6,"2011-03-01",148
"Philip Withnall",8,"2011-06-01",148
"Bastien Nocera",109,"2019-09-01",148
