"Desenvolvedor","Arquivo"
"Alexander Mai",1
"Bastian Maerkisch",19
"Christoph Bersch",1
"Daniel J Sebald",1
"Eric S. Raymond",2
"Ethan A Merritt",89
"Hans-Bernhard Broeker",2
"Henri Menke",1
"Jerome Lodewyck",8
"Johannes Zellner",2
"Lars Hecking",51
"Petr Mikulik",4
"Thomas Bleher",2
"Timothee Lecomte",1
