"Desenvolvedor","Data","EhAutor","Variabilidades"
"Hans-Bernhard Broeker","2000-10-01","Colaborador",1
"Hans-Bernhard Broeker","2001-02-01","Colaborador",2
"Hans-Bernhard Broeker","2004-04-01","Colaborador",1
"Hans-Bernhard Broeker","2004-07-01","Colaborador",1
"Hans-Bernhard Broeker","2015-10-01","Autor",1
"Henri Menke","2020-01-01","Colaborador",2
"Jerome Lodewyck","2009-07-01","Colaborador",2
"Jerome Lodewyck","2009-08-01","Autor",1
"Jerome Lodewyck","2012-01-01","Colaborador",1
"Jerome Lodewyck","2012-02-01","Autor",1
"Jerome Lodewyck","2012-04-01","Colaborador",1
"Jerome Lodewyck","2014-01-01","Colaborador",1
"Jerome Lodewyck","2014-02-01","Colaborador",1
"Jerome Lodewyck","2014-03-01","Autor",1
"Jerome Lodewyck","2014-04-01","Autor",1
"Johannes Zellner","2000-10-01","Autor",1
"Johannes Zellner","2000-11-01","Autor",6
"Lars Hecking","1998-04-01","Autor",389
"Lars Hecking","1998-04-01","Colaborador",7
"Lars Hecking","1998-05-01","Autor",1
"Lars Hecking","1998-05-01","Colaborador",7
"Lars Hecking","1998-06-01","Autor",7
"Lars Hecking","1998-06-01","Colaborador",8
"Lars Hecking","1998-07-01","Autor",9
"Lars Hecking","1998-08-01","Autor",4
"Lars Hecking","1998-08-01","Colaborador",32
"Lars Hecking","1998-09-01","Autor",1
"Lars Hecking","1998-09-01","Colaborador",30
"Lars Hecking","1998-10-01","Autor",19
"Lars Hecking","1998-10-01","Colaborador",9
"Lars Hecking","1998-11-01","Autor",13
"Lars Hecking","1998-11-01","Colaborador",5
"Lars Hecking","1998-12-01","Autor",5
"Lars Hecking","1998-12-01","Colaborador",1
"Lars Hecking","1999-01-01","Colaborador",11
"Lars Hecking","1999-02-01","Autor",2
"Lars Hecking","1999-02-01","Colaborador",2
"Lars Hecking","1999-03-01","Autor",172
"Lars Hecking","1999-03-01","Colaborador",8
"Lars Hecking","1999-04-01","Autor",1
"Lars Hecking","1999-05-01","Autor",2
"Lars Hecking","1999-05-01","Colaborador",9
"Lars Hecking","1999-06-01","Autor",14
"Lars Hecking","1999-06-01","Colaborador",3
"Lars Hecking","1999-07-01","Autor",1
"Lars Hecking","1999-07-01","Colaborador",2
"Lars Hecking","1999-08-01","Autor",1
"Lars Hecking","1999-08-01","Colaborador",1
"Lars Hecking","1999-09-01","Autor",2
"Lars Hecking","1999-09-01","Colaborador",4
"Lars Hecking","1999-10-01","Autor",5
"Lars Hecking","1999-11-01","Autor",16
"Lars Hecking","1999-11-01","Colaborador",1
"Lars Hecking","1999-12-01","Autor",1
"Lars Hecking","2000-01-01","Autor",1
"Lars Hecking","2000-02-01","Colaborador",10
"Lars Hecking","2000-03-01","Autor",1
"Lars Hecking","2000-03-01","Colaborador",3
"Lars Hecking","2000-05-01","Autor",1
"Lars Hecking","2000-05-01","Colaborador",2
"Lars Hecking","2000-11-01","Autor",1
"Lars Hecking","2000-11-01","Colaborador",1
"Lars Hecking","2001-03-01","Colaborador",1
"Lars Hecking","2001-07-01","Colaborador",1
"Lars Hecking","2001-11-01","Autor",1
"Lars Hecking","2002-01-01","Autor",1
"Lars Hecking","2002-01-01","Colaborador",1
"Lars Hecking","2002-02-01","Autor",1
"Lars Hecking","2002-02-01","Colaborador",16
"Lars Hecking","2002-03-01","Autor",1
"Lars Hecking","2002-03-01","Colaborador",3
"Lars Hecking","2002-04-01","Autor",1
"Lars Hecking","2002-05-01","Autor",7
"Lars Hecking","2002-09-01","Colaborador",1
"Lars Hecking","2002-10-01","Autor",2
"Lars Hecking","2002-10-01","Colaborador",1
"Lars Hecking","2002-11-01","Colaborador",1
"Lars Hecking","2002-12-01","Autor",1
"Lars Hecking","2003-01-01","Autor",1
"Lars Hecking","2003-06-01","Colaborador",1
"Lars Hecking","2003-08-01","Colaborador",1
"Lars Hecking","2004-01-01","Colaborador",1
"Petr Mikulik","2000-07-01","Colaborador",1
"Petr Mikulik","2000-11-01","Colaborador",6
"Petr Mikulik","2000-12-01","Colaborador",1
"Petr Mikulik","2001-02-01","Colaborador",4
"Petr Mikulik","2001-09-01","Colaborador",1
"Petr Mikulik","2002-01-01","Colaborador",1
"Petr Mikulik","2002-02-01","Colaborador",1
"Petr Mikulik","2002-03-01","Colaborador",1
"Petr Mikulik","2002-09-01","Colaborador",2
"Petr Mikulik","2002-10-01","Colaborador",1
"Petr Mikulik","2003-11-01","Colaborador",2
"Petr Mikulik","2003-12-01","Colaborador",1
"Petr Mikulik","2004-02-01","Colaborador",1
"Petr Mikulik","2004-09-01","Autor",2
"Petr Mikulik","2004-09-01","Colaborador",1
"Petr Mikulik","2004-11-01","Colaborador",1
"Petr Mikulik","2004-12-01","Colaborador",1
"Petr Mikulik","2005-01-01","Colaborador",1
"Petr Mikulik","2005-07-01","Colaborador",1
"Petr Mikulik","2005-08-01","Colaborador",1
"Petr Mikulik","2006-05-01","Colaborador",1
"Petr Mikulik","2007-06-01","Colaborador",1
"Petr Mikulik","2008-02-01","Colaborador",1
"Petr Mikulik","2009-03-01","Colaborador",1
"Petr Mikulik","2010-08-01","Colaborador",2
"Thomas Bleher","2013-12-01","Autor",1
"Timothee Lecomte","2009-01-01","Autor",1
