"Desenvolvedor","Variabilidades"
"Bastian Maerkisch",146
"Christoph Bersch",2
"Ethan A Merritt",494
"Hans-Bernhard Broeker",2
"Henri Menke",1
"Jerome Lodewyck",1
"Johannes Zellner",6
"Lars Hecking",495
"Petr Mikulik",14
