"Desenvolvedor","Variabilidades","Valor","Total"
"Johannes Zellner",6,"2000-11-01",1161
"Hans-Bernhard Broeker",2,"2001-02-01",1161
"Lars Hecking",495,"2003-06-01",1161
"Jerome Lodewyck",1,"2009-07-01",1161
"Petr Mikulik",14,"2010-08-01",1161
"Christoph Bersch",2,"2014-03-01",1161
"Bastian Maerkisch",146,"2019-02-01",1161
"Henri Menke",1,"2020-01-01",1161
"Ethan A Merritt",494,"2020-12-01",1161
