"Desenvolvedor","Data","Classificacao_ownership","Major","Minor","Total","Perc_Major","Perc_Minor"
"Joel E. Denny","2009-04-01","Major",9,0,9,100,0
"Akim Demaille","2009-05-01","Major",9,0,9,100,0
"Alex Rozenman","2009-05-01","Major",10,0,10,100,0
"Joel E. Denny","2009-05-01","Major",10,0,10,100,0
"Akim Demaille","2009-06-01","Major",10,0,10,100,0
"Alex Rozenman","2009-07-01","Major",10,0,10,100,0
"Joel E. Denny","2009-07-01","Major",10,0,10,100,0
"Akim Demaille","2009-08-01","Major",10,0,10,100,0
"Joel E. Denny","2009-08-01","Major",10,0,10,100,0
"Akim Demaille","2009-09-01","Major",10,0,10,100,0
"Joel E. Denny","2009-09-01","Major",10,0,10,100,0
"Joel E. Denny","2009-10-01","Major",10,0,10,100,0
"Joel E. Denny","2009-12-01","Major",10,0,10,100,0
"Joel E. Denny","2010-01-01","Major",10,0,10,100,0
"Akim Demaille","2010-04-01","Major",10,0,10,100,0
"Paul Eggert","2010-06-01","Major",10,0,10,100,0
"Akim Demaille","2010-09-01","Major",10,0,10,100,0
"Akim Demaille","2011-01-01","Major",10,0,10,100,0
"Joel E. Denny","2011-01-01","Major",10,0,10,100,0
"Akim Demaille","2011-03-01","Major",10,0,10,100,0
"Joel E. Denny","2011-07-01","Major",10,0,10,100,0
"Akim Demaille","2012-01-01","Major",10,0,10,100,0
"Akim Demaille","2012-02-01","Major",10,0,10,100,0
"Akim Demaille","2012-03-01","Major",10,0,10,100,0
"Akim Demaille","2012-04-01","Major",10,0,10,100,0
"Akim Demaille","2012-05-01","Major",10,0,10,100,0
"Akim Demaille","2012-06-01","Major",10,0,10,100,0
"Akim Demaille","2012-07-01","Major",10,0,10,100,0
"Akim Demaille","2012-08-01","Major",10,0,10,100,0
"Akim Demaille","2012-09-01","Major",10,0,10,100,0
"Akim Demaille","2012-10-01","Major",10,0,10,100,0
"Akim Demaille","2012-11-01","Major",10,0,10,100,0
"Akim Demaille","2012-12-01","Major",10,0,10,100,0
"Akim Demaille","2013-01-01","Major",10,0,10,100,0
"Akim Demaille","2013-02-01","Major",10,0,10,100,0
"Akim Demaille","2013-03-01","Major",10,0,10,100,0
"Akim Demaille","2013-04-01","Major",10,0,10,100,0
"Akim Demaille","2013-05-01","Major",10,0,10,100,0
"Akim Demaille","2013-06-01","Major",10,0,10,100,0
"Akim Demaille","2013-07-01","Major",10,0,10,100,0
"Akim Demaille","2013-09-01","Major",10,0,10,100,0
"Akim Demaille","2013-10-01","Major",10,0,10,100,0
"Akim Demaille","2013-11-01","Major",10,0,10,100,0
"Akim Demaille","2013-12-01","Major",10,0,10,100,0
"Akim Demaille","2014-02-01","Major",10,0,10,100,0
"Akim Demaille","2014-12-01","Major",10,0,10,100,0
"Akim Demaille","2015-01-01","Major",10,0,10,100,0
"Akim Demaille","2015-08-01","Major",10,0,10,100,0
"Akim Demaille","2018-05-01","Major",10,0,10,100,0
"Akim Demaille","2018-06-01","Major",10,0,10,100,0
"Akim Demaille","2018-07-01","Major",10,0,10,100,0
"Akim Demaille","2018-08-01","Major",10,0,10,100,0
"Akim Demaille","2018-09-01","Major",10,0,10,100,0
"Akim Demaille","2018-10-01","Major",10,0,10,100,0
"Akim Demaille","2018-11-01","Major",10,0,10,100,0
"Akim Demaille","2018-12-01","Major",10,0,10,100,0
"Akim Demaille","2019-01-01","Major",10,0,10,100,0
"Akim Demaille","2019-02-01","Major",10,0,10,100,0
"Akim Demaille","2019-03-01","Major",10,0,10,100,0
"Akim Demaille","2019-04-01","Major",10,0,10,100,0
"Akim Demaille","2019-05-01","Major",10,0,10,100,0
"Akim Demaille","2019-06-01","Major",10,0,10,100,0
"Akim Demaille","2019-07-01","Major",10,0,10,100,0
"Akim Demaille","2019-08-01","Major",10,0,10,100,0
"Akim Demaille","2019-09-01","Major",10,0,10,100,0
"Akim Demaille","2019-10-01","Major",10,0,10,100,0
"Paul Eggert","2019-10-01","Major",10,0,10,100,0
"Akim Demaille","2019-11-01","Major",10,0,10,100,0
"Akim Demaille","2019-12-01","Major",10,0,10,100,0
"Akim Demaille","2020-01-01","Major",10,0,10,100,0
"Akim Demaille","2020-02-01","Major",10,0,10,100,0
"Akim Demaille","2020-03-01","Major",10,0,10,100,0
"Akim Demaille","2020-04-01","Major",10,0,10,100,0
"Akim Demaille","2020-05-01","Major",10,0,10,100,0
"Vincent Imbimbo","2020-05-01","Major",11,0,11,100,0
"Akim Demaille","2020-06-01","Major",11,0,11,100,0
"Vincent Imbimbo","2020-06-01","Major",11,0,11,100,0
"Akim Demaille","2020-07-01","Major",11,0,11,100,0
"Akim Demaille","2020-08-01","Major",11,0,11,100,0
"Akim Demaille","2020-09-01","Major",11,0,11,100,0
"Akim Demaille","2020-10-01","Major",11,0,11,100,0
"Akim Demaille","2020-11-01","Major",11,0,11,100,0
"Akim Demaille","2020-12-01","Major",11,0,11,100,0
"Akim Demaille","2021-01-01","Major",11,0,11,100,0
