"Desenvolvedor","Arquivo"
"Akim Demaille",111
"Alex Rozenman",1
"David Mackenzie",3
"Jesse Thilo",4
"Joel E. Denny",10
"Juan Manuel Guerrero",1
"Pascal Bart",2
"Paul Eggert",42
"Richard M. Stallman",1
"Robert Anisko",2
"Vincent Imbimbo",5
