"Desenvolvedor","Variabilidades"
"Cosmin Truta",7
"Glenn Randers-Pehrson",743
"Guy Schalnat",81
"John Bowler",44
"Mandar Sahastrabuddhe",8
"Matt Sarett",1
"Richard Townsend",3
"Vadim Barkov",10
