"Desenvolvedor","Data","Classificacao_ownership","Major","Minor","Total"
"Glenn Randers-Pehrson","2001-10-01","Major",2,0,2
"Glenn Randers-Pehrson","2001-11-01","Major",2,0,2
"Glenn Randers-Pehrson","2001-12-01","Major",2,0,2
"Glenn Randers-Pehrson","2002-02-01","Major",2,0,2
"Glenn Randers-Pehrson","2002-03-01","Major",2,0,2
"Glenn Randers-Pehrson","2002-04-01","Major",2,0,2
"Glenn Randers-Pehrson","2002-05-01","Major",2,0,2
"Glenn Randers-Pehrson","2002-06-01","Major",2,0,2
"Glenn Randers-Pehrson","2002-07-01","Major",2,0,2
"Glenn Randers-Pehrson","2002-08-01","Major",2,0,2
"Glenn Randers-Pehrson","2002-09-01","Major",2,0,2
"Glenn Randers-Pehrson","2002-10-01","Major",2,0,2
"Glenn Randers-Pehrson","2004-07-01","Major",2,0,2
"Glenn Randers-Pehrson","2004-08-01","Major",2,0,2
"Glenn Randers-Pehrson","2004-09-01","Major",2,0,2
"Glenn Randers-Pehrson","2004-11-01","Major",2,0,2
"Glenn Randers-Pehrson","2004-12-01","Major",2,0,2
"Glenn Randers-Pehrson","2006-02-01","Major",2,0,2
"Glenn Randers-Pehrson","2006-03-01","Major",2,0,2
"Glenn Randers-Pehrson","2006-04-01","Major",2,0,2
"Glenn Randers-Pehrson","2006-05-01","Major",2,0,2
"Glenn Randers-Pehrson","2006-06-01","Major",2,0,2
"Glenn Randers-Pehrson","2006-07-01","Major",2,0,2
"Glenn Randers-Pehrson","2006-08-01","Major",2,0,2
"Glenn Randers-Pehrson","2006-10-01","Major",2,0,2
"Glenn Randers-Pehrson","2006-11-01","Major",2,0,2
"Glenn Randers-Pehrson","2006-12-01","Major",2,0,2
"Glenn Randers-Pehrson","2007-01-01","Major",2,0,2
"Glenn Randers-Pehrson","2007-03-01","Major",2,0,2
"Glenn Randers-Pehrson","2007-04-01","Major",2,0,2
"Glenn Randers-Pehrson","2007-05-01","Major",2,0,2
"Glenn Randers-Pehrson","2007-06-01","Major",2,0,2
"Glenn Randers-Pehrson","2007-07-01","Major",2,0,2
"Glenn Randers-Pehrson","2007-08-01","Major",2,0,2
"Glenn Randers-Pehrson","2007-09-01","Major",2,0,2
"Glenn Randers-Pehrson","2007-10-01","Major",2,0,2
"Glenn Randers-Pehrson","2007-11-01","Major",2,0,2
"Glenn Randers-Pehrson","2007-12-01","Major",2,0,2
"Glenn Randers-Pehrson","2008-01-01","Major",2,0,2
"Glenn Randers-Pehrson","2008-02-01","Major",2,0,2
"Glenn Randers-Pehrson","2008-03-01","Major",2,0,2
"Glenn Randers-Pehrson","2008-04-01","Major",2,0,2
"Glenn Randers-Pehrson","2008-05-01","Major",2,0,2
"Glenn Randers-Pehrson","2008-06-01","Major",2,0,2
"Glenn Randers-Pehrson","2008-07-01","Major",2,0,2
"Glenn Randers-Pehrson","2008-08-01","Major",2,0,2
"Glenn Randers-Pehrson","2008-09-01","Major",2,0,2
"Glenn Randers-Pehrson","2008-10-01","Major",2,0,2
"Glenn Randers-Pehrson","2008-11-01","Major",2,0,2
"Glenn Randers-Pehrson","2008-12-01","Major",2,0,2
"Glenn Randers-Pehrson","2009-02-01","Major",2,0,2
"Glenn Randers-Pehrson","2009-03-01","Major",2,0,2
"Glenn Randers-Pehrson","2009-04-01","Major",2,0,2
"Glenn Randers-Pehrson","2009-05-01","Major",2,0,2
"Glenn Randers-Pehrson","2009-06-01","Major",2,0,2
"Glenn Randers-Pehrson","2009-07-01","Major",2,0,2
"Glenn Randers-Pehrson","2009-08-01","Major",2,0,2
"Glenn Randers-Pehrson","2009-09-01","Major",2,0,2
"Glenn Randers-Pehrson","2009-10-01","Major",2,0,2
"Glenn Randers-Pehrson","2009-11-01","Major",2,0,2
"Glenn Randers-Pehrson","2009-12-01","Major",2,0,2
"Glenn Randers-Pehrson","2010-01-01","Major",2,0,2
"Glenn Randers-Pehrson","2010-02-01","Major",2,0,2
"Glenn Randers-Pehrson","2010-03-01","Major",2,0,2
"Glenn Randers-Pehrson","2010-04-01","Major",2,0,2
"Glenn Randers-Pehrson","2010-05-01","Major",2,0,2
"Glenn Randers-Pehrson","2010-06-01","Major",2,0,2
"Glenn Randers-Pehrson","2010-07-01","Major",2,0,2
"Glenn Randers-Pehrson","2010-08-01","Major",2,0,2
"Glenn Randers-Pehrson","2010-09-01","Major",2,0,2
"Glenn Randers-Pehrson","2010-10-01","Major",2,0,2
"Glenn Randers-Pehrson","2010-11-01","Major",2,0,2
"Glenn Randers-Pehrson","2010-12-01","Major",2,0,2
"Glenn Randers-Pehrson","2011-01-01","Major",2,0,2
"Glenn Randers-Pehrson","2011-02-01","Major",2,0,2
"Glenn Randers-Pehrson","2011-03-01","Major",2,0,2
"Glenn Randers-Pehrson","2011-04-01","Major",2,0,2
"Glenn Randers-Pehrson","2011-05-01","Major",2,0,2
"Glenn Randers-Pehrson","2011-06-01","Major",2,0,2
"Glenn Randers-Pehrson","2011-07-01","Major",2,0,2
"Glenn Randers-Pehrson","2011-08-01","Major",2,0,2
"Glenn Randers-Pehrson","2011-09-01","Major",2,0,2
"Glenn Randers-Pehrson","2011-10-01","Major",2,0,2
"Glenn Randers-Pehrson","2011-11-01","Major",2,0,2
"John Bowler","2011-11-01","Major",3,0,3
"Glenn Randers-Pehrson","2011-12-01","Major",3,0,3
"John Bowler","2011-12-01","Major",3,0,3
"Glenn Randers-Pehrson","2012-01-01","Major",3,0,3
"John Bowler","2012-01-01","Major",3,0,3
"Glenn Randers-Pehrson","2012-02-01","Major",3,0,3
"John Bowler","2012-02-01","Major",3,0,3
"Glenn Randers-Pehrson","2012-03-01","Major",3,0,3
"John Bowler","2012-03-01","Major",3,0,3
