"Desenvolvedor","Arquivo"
"Cosmin Truta",1
"Glenn Randers-Pehrson",76
"Guy Schalnat",4
"John Bowler",24
"Mandar Sahastrabuddhe",2
"Matt Sarett",1
"Richard Townsend",1
"Vadim Barkov",3
