"Desenvolvedor","Variabilidades","Valor","Total"
"Guy Schalnat",81,"1995-12-01",897
"Matt Sarett",1,"2016-02-01",897
"John Bowler",44,"2016-06-01",897
"Mandar Sahastrabuddhe",8,"2016-08-01",897
"Vadim Barkov",10,"2017-02-01",897
"Glenn Randers-Pehrson",743,"2017-09-01",897
"Richard Townsend",3,"2018-01-01",897
"Cosmin Truta",7,"2019-02-01",897
