projeto,url,bug,variability,arquivo,commit,autor,doa,ownership
BusyBox,http://vbdb.itu.dk/busybox/2631486.html,2631486,,ls.c,2631486f1bfac59f9217350effcda627da7be875,Rob Landley,0.15357340092140903,4.7272727272727275
BusyBox,http://vbdb.itu.dk/busybox/5275b1e.html,5275b1e,,insmod.c,5275b1e49f62c273f5d3ef14f093eb8661f54843,Eric Andersen,1.0,36.758893280632414
BusyBox,http://vbdb.itu.dk/busybox/5cd6461.html,5cd6461,CONFIG_LFS,httpd.c,5cd6461b6fb51e8cf297a49074fce825e1960774,Glenn L Mcgrath,0.12034499394213308,5.8441558441558445
BusyBox,http://vbdb.itu.dk/busybox/9575518.html,9575518,,httpd.c,95755181b828cccaa833d7b8d1d47174b7b360b7,Peter Korsgaard,0.05298524036331957,0.974025974025974
BusyBox,http://vbdb.itu.dk/busybox/b273d66.html,b273d66,(BB_FEATURE_LS_FILETYPES) ||  (BB_FEATURE_LS_USERNAME),ls.c,b273d6651813363d95fd08686d380db8eacf87c1,Matt Kraai,0.1605512540338285,5.090909090909091
BusyBox,http://vbdb.itu.dk/busybox/b273d66.html,b273d66,BB_FEATURE_LS_FILETYPES,ls.c,b273d6651813363d95fd08686d380db8eacf87c1,Matt Kraai,0.1605512540338285,5.090909090909091
BusyBox,http://vbdb.itu.dk/busybox/b273d66.html,b273d66,BB_FEATURE_LS_RECURSIVE,ls.c,b273d6651813363d95fd08686d380db8eacf87c1,Matt Kraai,0.1605512540338285,5.090909090909091
BusyBox,http://vbdb.itu.dk/busybox/b273d66.html,b273d66,BB_FEATURE_LS_SORTFILES,ls.c,b273d6651813363d95fd08686d380db8eacf87c1,Matt Kraai,0.1605512540338285,5.090909090909091
BusyBox,http://vbdb.itu.dk/busybox/b62bd7b.html,b62bd7b,,mdev.c,b62bd7b261bbfadcaeb7c5fcec8b4921bf5379a6,Bernhard Reutner-Fischer,0.12909636432500896,4.093567251461988
BusyBox,http://vbdb.itu.dk/busybox/b7ebc61.html,b7ebc61,CONFIG_FEATURE_LS_SORTFILES,ls.c,b7ebc61b54ff542935ff4216f80ea53103e8dcf2,Eric Andersen,0.6216155758666905,29.09090909090909
BusyBox,http://vbdb.itu.dk/busybox/b7ebc61.html,b7ebc61,CONFIG_FEATURE_LS_TIMESTAMPS,ls.c,b7ebc61b54ff542935ff4216f80ea53103e8dcf2,Eric Andersen,0.6216155758666905,29.09090909090909
BusyBox,http://vbdb.itu.dk/busybox/bc0ffc0.html,bc0ffc0,,nameif.c,bc0ffc0e971c61dc7f09aab2a35966f99cc606ba,Thomas De Schampheleire,0.2617151371679287,1.5873015873015872
BusyBox,http://vbdb.itu.dk/busybox/cc3f20b.html,cc3f20b,,ash.c,cc3f20b9bdf9a46c41877dab4900eb2997b72019,Denis Vlasenko,1.0,73.33333333333333
BusyBox,http://vbdb.itu.dk/busybox/cc3f20b.html,cc3f20b,,diff.c,cc3f20b9bdf9a46c41877dab4900eb2997b72019,Denis Vlasenko,1.0,67.21311475409836
BusyBox,http://vbdb.itu.dk/busybox/cc3f20b.html,cc3f20b,,hush.c,cc3f20b9bdf9a46c41877dab4900eb2997b72019,Denis Vlasenko,1.0,81.40900195694717
BusyBox,http://vbdb.itu.dk/busybox/cc3f20b.html,cc3f20b,,ls.c,cc3f20b9bdf9a46c41877dab4900eb2997b72019,Denis Vlasenko,1.0,48.72727272727273
BusyBox,http://vbdb.itu.dk/busybox/cf1f2ac.html,cf1f2ac,,init.c,cf1f2ace391269655a80e42b692749da0c3d4047,Bernhard Reutner-Fischer,0.1309606694248181,4.381443298969073
BusyBox,http://vbdb.itu.dk/busybox/df7b657.html,df7b657,,id.c,df7b6577c6abaff551b15ccc80917553afde33fb,Denis Vlasenko,1.0,49.438202247191015
BusyBox,http://vbdb.itu.dk/busybox/ebee301.html,ebee301,(BB_AR),utility.c,ebee301c8b0bfe62cd2ec47f458b7f8710d8f407,Eric Andersen,1.0,75.0
BusyBox,http://vbdb.itu.dk/busybox/ebee301.html,ebee301,(BB_AR) ||  BB_CP_MV,utility.c,ebee301c8b0bfe62cd2ec47f458b7f8710d8f407,Eric Andersen,1.0,75.0
BusyBox,http://vbdb.itu.dk/busybox/ebee301.html,ebee301,BB_TAR ||  BB_TAIL ||  BB_AR ||  BB_SH,utility.c,ebee301c8b0bfe62cd2ec47f458b7f8710d8f407,Eric Andersen,1.0,75.0
BusyBox,http://vbdb.itu.dk/busybox/ebee301.html,ebee301,BB_TAR ||  BB_TAIL ||  BB_AR ||  BB_SH ||  BB_CP_MV,utility.c,ebee301c8b0bfe62cd2ec47f458b7f8710d8f407,Eric Andersen,1.0,75.0
BusyBox,http://vbdb.itu.dk/busybox/eef2317.html,eef2317,CONFIG_FEATURE_CLEAN_UP,dmesg.c,eef2317b9f5bdd362a7b8a0169c688245374f0f5,Eric Andersen,1.0,37.333333333333336
Marlin,http://vbdb.itu.dk/marlin/2d22902.html,2d22902,,Marlin_main.cpp,2d22902d080b08c65ebdf5f8b3f03529ccd58144,Gina Haussge,0.008531786302238826,0.22637238256932654
Marlin,http://vbdb.itu.dk/marlin/2db384a.html,2db384a,,configuration_store.cpp,2db384a21d680a9c8708f1675594732bcf46655d,Scott Lahteine,1.0,76.878612716763
Marlin,http://vbdb.itu.dk/marlin/3024821.html,3024821,,temperature.cpp,30248214c7fd52333d1c71bebe5ede40dbd76011,Philippe L,0.04726429974334625,0.24813895781637718
Marlin,http://vbdb.itu.dk/marlin/31873ec.html,31873ec,--------------------------------------------------,--------------------------------------------------,31873ec707d5ba19de59b046cb1e882b8bd4e1db,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------
Marlin,http://vbdb.itu.dk/marlin/53be0f3.html,53be0f3,,stepper.cpp,53be0f3399e9d11c91ec35628f6a736b172dfb1c,Scott Lahteine,1.0,44.0625
Marlin,http://vbdb.itu.dk/marlin/7336e6d.html,7336e6d,,stepper.cpp,7336e6df070a2f20e5f2cb9b3ac2d40c9da0c8c4,Scott Lahteine,1.0,44.0625
Marlin,http://vbdb.itu.dk/marlin/831016b.html,831016b,--------------------------------------------------,--------------------------------------------------,831016b09f753000edb69473cd013e1a79b2fdd1,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------
Marlin,http://vbdb.itu.dk/marlin/8c4377d.html,8c4377d,,temperature.cpp,8c4377dd63568291fdb62b7b2aeecb14a5982467,David Forrest,0.08287050989728609,1.9851116625310175
Marlin,http://vbdb.itu.dk/marlin/a7fc1f8.html,a7fc1f8,--------------------------------------------------,--------------------------------------------------,a7fc1f83c81273fd03c2ca576f936a08b53a0e01,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------
Marlin,http://vbdb.itu.dk/marlin/b8e79dc.html,b8e79dc,,ultralcd.cpp,b8e79dce897c970afb9c7721f93943046b1410b9,Wgm4321,0.03687061433757142,1.3315579227696406
Marlin,http://vbdb.itu.dk/marlin/e30bfed.html,e30bfed,,Marlin_main.cpp,e30bfedce4d3565e880cd76589665f322c6ef788,Scott Lahteine,1.0,62.2524052065648
Marlin,http://vbdb.itu.dk/marlin/f87c808.html,f87c808,--------------------------------------------------,--------------------------------------------------,f87c80889fe967ea883f96d2eed0f82398d8a3dd,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------
Marlin,http://vbdb.itu.dk/marlin/fc3c76f.html,fc3c76f,,temperature.cpp,fc3c76fc1641370ee76a564299592e283cbcd0c0,Scott Lahteine,1.0,46.650124069478906
Marlin,http://vbdb.itu.dk/marlin/fdac8f6.html,fdac8f6,ENABLE_AUTO_BED_LEVELING,ConfigurationStore.cpp,fdac8f6cece835664bb97ff2f53d8fba74e37fc7,L.Lefebvre,0.41218210581996806,1.7241379310344827
