"Desenvolvedor","Variabilidades"
"Adrien Plazas",1
"Alex",33
"Alex Graveley",2
"Carlos Garcia Campos",2
"Colin Walters",1
"Dan Winship",70
"Guido Guenther",2
"Gustavo Noronha Silva",1
"Ignacio Casal Quinteiro",6
"Martin Robinson",1
"Patrick Griffis",3
"Rodrigo Moya",1
"Sergio Villar Senin",1
"Xavier Claessens",4
