"Desenvolvedor","Variabilidades"
"Ailin-Nemui",2
"Alexander Faeroy",3
"Dequis",1
"Edward Tomasz Napierala",1
"Emanuele Giaquinta",6
"Nattfodd",2
"Timo Sirainen",71
"Valentin Batz",3
