"Desenvolvedor","Arquivo"
"Ailin Nemui",1
"Ailin-Nemui",13
"Alexander Faeroy",9
"Dequis",3
"Edward Tomasz Napierala",3
"Emanuele Giaquinta",7
"Giuseppe",1
"Joseph Bisch",2
"Lemonboy",3
"Nattfodd",3
"Timo Sirainen",212
"Valentin Batz",3
"Will Storey",2
"Xavier G",1
