"Desenvolvedor","Variabilidades"
"Aet",96
"Aj",27
"Alonbl",35
"Andreas Schwier",2
"Dengert",1
"Ep",3
"Fabled",4
"Flc",5
"Frank Morgner",54
"German Blanco",10
"Hannu Honkanen",2
"Jakub Jelen",4
"Jakuje",5
"Jey",22
"Le Toux Vincent",4
"Ludovic Rousseau",1
"Ludovic.Rousseau",9
"Martin",24
"Nils",12
"Okir",38
"Peter Marschall",2
"Piotr Majkrzak",2
"Raul Metsma",1
"Ricky",2
"S",3
"Sth",5
"Viktor Tarasov",6
"Viktor.Tarasov",8
"Vletoux",8
"Vtarasov",3
