"Variabilidades","Desenvolvedor","Valor","Total"
"HAVE_VSYSLOG",1,"2003-11-01",398
"MANUAL_IFSC",2,"2003-11-01",398
"USB_DEBUG",2,"2003-11-01",398
"PK_INIT_IMMEDIATELY",1,"2003-12-01",398
"notyet",2,"2004-06-01",398
"MP_CCID_PINPAD",2,"2005-01-01",398
"OPENSC_NO_DEPRECATED",1,"2005-02-01",398
"defined(__APPLE__)",2,"2005-06-01",398
"HAVE_GETOPT_H",3,"2005-06-01",398
"defined(HAVE_DLFCN_H) && defined(__APPLE__)",2,"2005-07-01",398
"strncasecmp",1,"2005-07-01",398
"(__APPLE__) && (HAVE_PCSC_OLD)",1,"2005-09-01",398
"(HAVE_DLFCN_H)",2,"2005-09-01",398
"RTLD_NOW",2,"2005-09-01",398
"CM_IOCTL_GET_FEATURE_REQUEST",1,"2005-10-01",398
"MIN",2,"2005-10-01",398
"OPENSC_DONT_LOG_SENSITIVE",1,"2005-12-01",398
"HAVE_STRLCPY",1,"2006-07-01",398
"CHECK_CERTIFICATES",1,"2007-03-01",398
"asepcos_USE_PIN_PATH",1,"2007-07-01",398
"_DEBUG",1,"2007-12-01",398
"BIG_ENDIAN_RUTOKEN",1,"2007-12-01",398
"DEBUG",4,"2007-12-01",398
"SC_ALGORITHM_GOST /* EDE CBC mode */",1,"2007-12-01",398
"FORCE_VERIFY_RUTOKEN",1,"2008-01-01",398
"__GNUC__",3,"2008-03-01",398
"(__GNUC__)",1,"2008-03-01",398
"(__VERSION__)",1,"2008-03-01",398
"(ENABLE_OPENSSL) && ((_WIN32) || (HAVE_INTTYPES_H))",1,"2008-03-01",398
"(ENABLE_PCSC)",1,"2008-03-01",398
"(HAVE_OPENSSL) && ((_WIN32) || (HAVE_INTTYPES_H))",1,"2008-03-01",398
"(HAVE_PCSC)",2,"2008-03-01",398
"ENABLE_OPENCT",1,"2008-03-01",398
"ENABLE_PCSC",1,"2008-03-01",398
"HAVE_GETPASS",1,"2008-03-01",398
"HAVE_INTTYPES_H",1,"2008-03-01",398
"HAVE_OPENCT",2,"2008-03-01",398
"HAVE_OPENSSL",8,"2008-03-01",398
"HAVE_PCSC",1,"2008-03-01",398
"HAVE_PCSC_OLD",2,"2008-03-01",398
"HAVE_READER_H",2,"2008-03-01",398
"HAVE_READLINE",1,"2008-03-01",398
"HAVE_READLINE_READLINE_H",2,"2008-03-01",398
"HAVE_SETLOCALE",1,"2008-03-01",398
"HAVE_ZLIB_H",2,"2008-03-01",398
"HOST_TO_CCID_32",2,"2008-03-01",398
"PCSC_INCLUDES_IN_PCSC",1,"2008-03-01",398
"PINPAD_ENABLED",2,"2008-03-01",398
"HAVE_ICONV_H",1,"2009-01-01",398
"SC_CUSTOM_STATUS_TIMEOUT",1,"2009-01-01",398
"__APPLE__ /* 10.5.7 does not support 0 as protocol identifier */",1,"2009-09-01",398
"DEBUG_SSL",1,"2009-09-01",398
"min",2,"2009-10-01",398
"SC_ALGORITHM_GOSTR3410",1,"2009-10-01",398
"COSM_EXTENDED",1,"2009-11-01",398
"ENABLE_CTAPI",1,"2009-11-01",398
"NOT_YET",1,"2009-11-01",398
"OBERTHUR_VERIFY_SOPIN_TRY_LOCAL",1,"2009-11-01",398
"__APPLE__ /* OS X 10.6.2 does not support PnP notification */",1,"2010-02-01",398
"(HAVE_SETLOCALE) && !(_WIN32)",2,"2010-02-01",398
"HAVE_CARDMOD_H",2,"2010-02-01",398
"HAVE_LOCALE_H",1,"2010-02-01",398
"KEEP_AC_NONE_FOR_INIT_APPLET",1,"2010-02-01",398
"SCARD_E_INVALID_PARAMETER",2,"2010-02-01",398
"ENABLE_OPENSSL	/* empty file without openssl */",1,"2010-03-01",398
"PIN_PROPERTIES_v5",1,"2010-07-01",398
"HAVE_STRLCAT",1,"2010-08-01",398
"(HAVE_INTTYPES_H)",2,"2010-09-01",398
"defined(_MSC_VER)",2,"2010-09-01",398
"defined(HAVE_STDINT_H)",2,"2010-09-01",398
"VISUAL_STUDIO",1,"2010-09-01",398
"ENABLE_ICONV",1,"2010-10-01",398
"PCSC_CANCEL_OK",1,"2010-11-01",398
"ENABLE_OPENSSL   /* empty file without openssl */",1,"2010-12-01",398
"defined(HAVE_DLFCN_H)",3,"2011-02-01",398
"HAVE_LTDL_H",1,"2011-02-01",398
"ENABLE_CARDMOD",2,"2011-04-01",398
"OPENSSL_NO_EC",1,"2012-05-01",398
"OPENSSL_VERSION_NUMBER >= 0x10000000L && !(OPENSSL_NO_EC)",1,"2012-05-01",398
"ENABLE_SM",2,"2013-05-01",398
"ENABLE_DNIE_UI",1,"2013-06-01",398
"linux",3,"2013-06-01",398
"O_BINARY",2,"2013-06-01",398
"USE_PKCS15_INIT",2,"2013-07-01",398
"HAVE_SYS_TIME_H",3,"2014-02-01",398
"OPENSSL_VERSION_NUMBER",1,"2015-03-01",398
"_M_X64",1,"2015-04-01",398
"_MANAGED",2,"2015-04-01",398
"ENABLE_OPENSSL           /* empty file without openssl */",1,"2015-06-01",398
"__APPLE__",5,"2015-11-01",398
"_BSD_SOURCE",1,"2015-11-01",398
"(_MSC_VER) && (_MSC_VER < 1700)",1,"2015-11-01",398
"(ENABLE_OPENPACE)",1,"2015-11-01",398
"(ENABLE_OPENPACE) && (ENABLE_SM)",1,"2015-11-01",398
"ENABLE_OPENPACE",1,"2015-11-01",398
"FIX_UNUSED",1,"2015-11-01",398
"HAVE_GETLINE",1,"2015-11-01",398
"HAVE_RANGECHECKFAILURE	/* empty file if __report_rangecheckfailure is available */",1,"2015-11-01",398
"no_argument",1,"2015-11-01",398
"optional_argument",1,"2015-11-01",398
"required_argument",1,"2015-11-01",398
"UNICODE",2,"2015-11-01",398
"HAVE_UNISTD_H",10,"2015-12-01",398
"HAVE_STRNLEN",1,"2016-01-01",398
"(_MSC_VER) && (_MSC_VER >= 1900)",1,"2016-02-01",398
"MYEID_ECC_SUPPORT",1,"2016-03-01",398
"(ENABLE_OPENSSL) && OPENSSL_VERSION_NUMBER >= 0x00908000L && !(OPENSSL_NO_EC) && !(OPENSSL_NO_ECDSA)",1,"2016-08-01",398
"HAVE_IOB_FUNC	/* empty file if iob_func is available */",1,"2016-08-01",398
"PRINT_DKEK_SHARE",1,"2016-09-01",398
"__MINGW32__",1,"2016-10-01",398
"ENABLE_MINIDRIVER",3,"2016-11-01",398
"SCARD_E_NO_READERS_AVAILABLE /* Older pcsc-lite does not have it */",2,"2016-11-01",398
"(ENABLE_OPENSSL) && (ENABLE_SM)	/* empty file without openssl or sm */",1,"2016-12-01",398
"ENABLE_OPENSSL		/* empty file without openssl */",2,"2016-12-01",398
"defined(ENABLE_CRYPTOTOKENKIT)",1,"2017-02-01",398
"(ENABLE_NOTIFY) && (__APPLE__)",1,"2017-05-01",398
"(ENABLE_NOTIFY) && (_WIN32)",1,"2017-06-01",398
"(ENABLE_NOTIFY) && ((__APPLE__) || ((GDBUS) && !(_WIN32)))",1,"2017-06-01",398
"(ENABLE_NOTIFY) && ((__APPLE__) || (GDBUS))",1,"2017-06-01",398
"(ENABLE_NOTIFY) && ((ENABLE_GIO2) || (GDBUS) && !(_WIN32))",1,"2017-06-01",398
"(ENABLE_NOTIFY) && ((ENABLE_GIO2) || (GDBUS))",1,"2017-06-01",398
"defined(ENABLE_NOTIFY) && defined(__APPLE__)",1,"2017-06-01",398
"defined(ENABLE_NOTIFY) && defined(ENABLE_GIO2)",1,"2017-06-01",398
"defined(ENABLE_NOTIFY) && defined(GDBUS)",1,"2017-06-01",398
"defined(ENABLE_NOTIFY) && defined(GDBUS) && !defined(_WIN32)",1,"2017-06-01",398
"HAVE_SIGACTION",2,"2017-06-01",398
"PCSCLITE_GOOD",1,"2017-06-01",398
"(_MSC_VER) && _MSC_VER < 1900",1,"2017-11-01",398
"(ENABLE_NOTIFY) && ((__APPLE__))",1,"2017-11-01",398
"(ENABLE_NOTIFY) && (ENABLE_GIO2)",1,"2017-11-01",398
