"Arquivo","Desenvolvedor"
"pkcs15-rutoken.c",3
"pkcs15-sc-hsm.c",2
"pkcs15-sec.c",1
"pkcs15-setcos.c",2
"pkcs15-skey.c",1
"pkcs15-starcert.c",2
"pkcs15-starcos.c",2
"pkcs15-syn.c",1
"pkcs15-tccardos.c",2
"pkcs15-tcos.c",3
"pkcs15-tool.c",2
"pkcs15-westcos.c",2
"pkcs15-wrap.c",1
"pkcs15.c",1
"portability.c",2
"print.c",2
"prngtest.c",2
"profile.c",1
"reader-ctapi.c",5
"reader-openct.c",2
"reader-pcsc.c",1
"reader-tr03119.c",1
"reader-usbtoken.c",2
"rutoken-tool.c",1
"sc-emv.c",1
"sc-hsm-tool.c",1
"sc-test.c",1
"sc.c",1
"scam.c",1
"scconf.c",1
"scdl.c",1
"sceac-example.c",1
"scldap.c",1
"sclex.c",2
"scrandom.c",2
"sec.c",1
"secretkey.c",1
"session.c",2
"sia_opensc.c",1
"sia_support.c",1
"signer.c",1
"simclist.c",2
"simpletlv.c",1
"slot.c",2
"sm-card-authentic.c",2
"sm-card-iasecc.c",2
"sm-common.c",2
"sm-cwa14890.c",2
"sm-eac.c",1
"sm-global-platform.c",2
"sm-iso.c",1
"sm.c",2
"smm-local.c",1
"socket.c",1
"strings.c",2
"strlcpy.c",1
"stubs.c",1
"t1.c",1
"test-conf.c",2
"test-ldap.c",1
"test-pam.c",2
"test-random.c",1
"test-sia.c",1
"test.c",1
"testprog.c",1
"ui.c",2
"usb.c",1
"user-interface.c",2
"util.c",1
"verify.c",1
"westcos-tool.c",3
"write.c",1
