"Variabilidades","Desenvolvedor","Valor","Total"
"SSL_OP_SINGLE_ECDH_USE",1,"2014-11-01",237
"(USE_IPV6) ||  (WIN32)",2,"2014-12-01",237
"DEBUG_MSPROXY",2,"2014-12-01",237
"LOOKUPD",2,"2014-12-01",237
"SOCKS",3,"2014-12-01",237
"USE_DCC64",2,"2014-12-01",237
"USE_IPV6",3,"2014-12-01",237
"USE_MSPROXY",3,"2014-12-01",237
"USE_OPENSSL",4,"2015-01-01",237
"__sparc__",2,"2015-02-01",237
"_WIN64",3,"2015-02-01",237
"HAVE_LIBPCI",1,"2015-02-01",237
"WIN32 /* Windows uses IEC size (with SI format) */",1,"2015-02-01",237
"__alpha__",2,"2016-03-01",237
"__ia64__",2,"2016-03-01",237
"__parisc__",2,"2016-03-01",237
"__powerpc__",2,"2016-03-01",237
"(__i386__) || (__x86_64__)",2,"2016-03-01",237
"(__powerpc__)",1,"2016-03-01",237
"defined( __alpha__)",1,"2016-03-01",237
"defined(__ia64__)",1,"2016-03-01",237
"defined(__parisc__)",1,"2016-03-01",237
"defined(__powerpc__)",1,"2016-03-01",237
"defined(__sparc__)",1,"2016-03-01",237
"G_OS_WIN32",2,"2016-04-01",237
"__FreeBSD__",1,"2016-12-01",237
"(__FreeBSD__) ||  (__APPLE__)",1,"2016-12-01",237
"(__linux__) ||  (__CYGWIN__)",1,"2016-12-01",237
"(__linux__) ||  (__FreeBSD__) ||  (__APPLE__) ||  (__CYGWIN__)",1,"2016-12-01",237
"(USING_FREEBSD) ||  (__APPLE__)",2,"2016-12-01",237
"(USING_LINUX) ||  (__CYGWIN__)",1,"2016-12-01",237
"(USING_LINUX) ||  (USING_FREEBSD) ||  (__APPLE__) ||  (__CYGWIN__)",1,"2016-12-01",237
"HAVE_DH_GET0_KEY",1,"2016-12-01",237
"HAVE_DH_SET0_KEY",1,"2016-12-01",237
"HAVE_DH_SET0_PQG",1,"2016-12-01",237
"USING_FREEBSD",2,"2016-12-01",237
"HAVE_ASN1_STRING_GET0_DATA",1,"2017-06-01",237
"HAVE_ERR_REMOVE_THREAD_STATE",1,"2017-06-01",237
"(__MINGW64__) || (__MINGW32__)",1,"2018-03-01",237
"(WIN32) && (!(__MINGW32__) && !(__MINGW64__))",1,"2018-03-01",237
"PLUGIN_HEXCHAT_FISHLIM_TEST_H",1,"2020-07-01",237
