"Desenvolvedor","Arquivo"
"Clark Cooper",1
"Fred L. Drake, Jr.",4
"Greg Stein",1
"James Clark",22
"Karl Waclawek",1
"Mitch Phillips",2
"Rhodri James",3
"Sebastian Pipping",8
"Steven Solie",6
