"Desenvolvedor","Variabilidades"
"Fred L. Drake, Jr.",1
"Greg Stein",1
"James Clark",29
"Karl Waclawek",1
"Mitch Phillips",1
"Rhodri James",5
"Sebastian Pipping",51
"Steven Solie",1
