"Desenvolvedor","Arquivo"
"Adriaan De Jong",10
"Alon Bar-Lev",8
"Antonio Quartulli",7
"Arne Schwabe",10
"Daniel Kubec",1
"David Sommerseth",31
"Emmanuel Deloget",1
"Gert Doering",9
"Heiko Hund",5
"Ivo Manca",1
"James",70
"James Bottomley",1
"James Yonan",9
"Jens Neuhalfen",4
"Jonathan Tooker",1
"Lev Stipakov",3
"Selva Nair",3
"Simon Matter",1
"Simon Rozman",7
"Steffan Karger",21
"Vasily Kulikov",4
