"Desenvolvedor","Variabilidades"
"Adriaan De Jong",35
"Alon Bar-Lev",33
"Antonio Quartulli",5
"Arne Schwabe",24
"Daniel Kubec",1
"David Sommerseth",62
"Gert Doering",75
"Heiko Hund",3
"James",189
"James Yonan",189
"Jens Neuhalfen",1
"Lev Stipakov",3
"Selva Nair",4
"Simon Rozman",8
"Steffan Karger",67
