"Desenvolvedor","Variabilidades"
"Anderson Toshiyuki Sasaki",26
"Andreas Schneider",102
"Aris Adamantiadis",86
"Audrius Butkevicius",7
"Dirkjan Bussink",2
"Jakub Jelen",13
"Jean-Philippe Garcia Ballester",3
"Jon Simons",3
"Juraj Vijtiuk",2
"Milo",4
"Simo Sorce",2
"Till Wimmer",3
