"Desenvolvedor","Arquivo"
"Alan Dunn",7
"Alex Gaynor",1
"Anderson Toshiyuki Sasaki",33
"Andreas Schneider",123
"Aris",1
"Aris Adamantiadis",110
"Audrius Butkevicius",1
"Ben Toews",3
"Bernhard R. Link",1
"Dirkjan Bussink",2
"Dmitriy Kuznetsov",2
"Fabiano Fidencio",2
"Jakub Jelen",21
"Jan-Niklas Burfeind",1
"Jean-Philippe Garcia Ballester",1
"Jon Simons",6
"Juraj Vijtiuk",3
"Luka Perkov",1
"Milo",3
"Oliver Stoneberg",2
"Sahana Prasad",3
"Simo Sorce",4
"Till Wimmer",1
