"Desenvolvedor","Data","Classificacao_ownership","Major","Minor","Total"
"Alan Dunn","2014-01-01","Major",8,0,8
"Andreas Schneider","2014-01-01","Major",8,0,8
"Aris Adamantiadis","2014-01-01","Major",8,0,8
"Alan Dunn","2014-02-01","Major",8,0,8
"Andreas Schneider","2014-02-01","Major",9,0,9
"Aris Adamantiadis","2014-02-01","Major",9,0,9
"Audrius Butkevicius","2014-02-01","Major",9,0,9
"Andreas Schneider","2014-03-01","Major",9,0,9
"Luka Perkov","2014-03-01","Major",10,0,10
"Alan Dunn","2014-04-01","Major",10,0,10
"Andreas Schneider","2014-04-01","Major",10,0,10
"Aris Adamantiadis","2014-04-01","Major",10,0,10
"Andreas Schneider","2014-05-01","Major",10,0,10
"Andreas Schneider","2014-06-01","Major",10,0,10
"Andreas Schneider","2014-08-01","Major",10,0,10
"Aris Adamantiadis","2014-08-01","Major",10,0,10
"Andreas Schneider","2014-09-01","Major",10,0,10
"Aris","2014-09-01","Major",11,0,11
"Aris Adamantiadis","2014-09-01","Major",11,0,11
"Andreas Schneider","2014-10-01","Major",11,0,11
"Jon Simons","2014-10-01","Major",12,0,12
"Andreas Schneider","2014-12-01","Major",12,0,12
"Jon Simons","2014-12-01","Major",12,0,12
"Andreas Schneider","2015-01-01","Major",12,0,12
"Aris Adamantiadis","2015-01-01","Major",12,0,12
"Andreas Schneider","2015-02-01","Major",12,0,12
"Aris Adamantiadis","2015-02-01","Major",12,0,12
"Andreas Schneider","2015-04-01","Major",12,0,12
"Aris Adamantiadis","2015-04-01","Major",12,0,12
"Andreas Schneider","2015-05-01","Major",12,0,12
"Andreas Schneider","2015-06-01","Major",12,0,12
"Aris Adamantiadis","2015-07-01","Major",12,0,12
"Andreas Schneider","2015-08-01","Major",12,0,12
"Andreas Schneider","2015-09-01","Major",12,0,12
"Aris Adamantiadis","2015-09-01","Major",13,0,13
"Fabiano Fidencio","2015-09-01","Major",13,0,13
"Andreas Schneider","2015-10-01","Major",13,0,13
"Aris Adamantiadis","2015-12-01","Major",13,0,13
"Andreas Schneider","2016-01-01","Major",13,0,13
"Aris Adamantiadis","2016-01-01","Major",13,0,13
"Andreas Schneider","2016-02-01","Major",13,0,13
"Aris Adamantiadis","2016-02-01","Major",13,0,13
"Andreas Schneider","2016-03-01","Major",13,0,13
"Aris Adamantiadis","2016-03-01","Major",13,0,13
"Andreas Schneider","2016-05-01","Major",13,0,13
"Aris Adamantiadis","2016-05-01","Major",13,0,13
"Aris Adamantiadis","2016-06-01","Major",13,0,13
"Andreas Schneider","2016-10-01","Major",13,0,13
"Andreas Schneider","2016-11-01","Major",13,0,13
"Andreas Schneider","2017-02-01","Major",13,0,13
"Andreas Schneider","2017-04-01","Major",13,0,13
